Number,Target variable,Ankle flexion/extension angle,Knee ad/abduction angle,Pelvic obliquity angle,Pelvic rotation angle,Lumbar rotation angle,M/L COM position,Vertical COM position,Biceps femoris short head,Adductor brevis,Tensor fasciae latae,Piriformis,Rectus femoris,Vastus lateralis,Medial gastrocnemius,Soleus
1,10.33176235,1.14598,20.3058,1.34038,-6.51193,13.7198,412.761,1016.4,0.211921977,0.031191636,0.171616183,0.147433041,1.976434365,3.346332305,0.929537418,1.963338163
2,9.997504138,2.16561,20.5669,1.36671,-6.68258,12.9862,411.214,1014.99,0.218890447,0.028585003,0.170867353,0.191383508,1.940552698,3.142301811,0.923203656,1.935485417
3,9.60191854,3.42494,20.823,1.41732,-6.84889,12.2444,409.693,1013.38,0.227337666,0.025666511,0.169623056,0.236737437,1.900613318,2.920429322,0.913219325,1.898058468
4,9.991610754,10.1485,21.1273,1.7071,-7.40304,9.21455,403.952,1005.59,0.178402109,0.066696056,0.16170639,0.131972745,1.818885699,2.986894801,0.877651189,1.765146745
5,10.03655481,12.004,20.9391,1.76198,-7.50451,8.43554,402.61,1003.51,0.171586247,0.091593356,0.158294253,0.058404785,1.792998258,2.98102588,0.854991313,1.706368353
6,9.589432101,13.828,20.6409,1.79561,-7.59048,7.64232,401.303,1001.45,0.192025006,0.064579054,0.154226087,0.069808912,1.728262756,2.755104479,0.825250604,1.626556979
7,25.72235671,5.98502,2.86013,0.327344,-2.8361,-169.223,199.852,1017.92,0.14626035,0.041960676,0.099468017,0.293218021,1.006420358,17.70521678,0.639543011,1.985887296
8,25.11452028,6.69335,3.38437,0.382832,-3.32205,-169.971,199.699,1014.29,0.148011257,0.041876739,0.100620255,0.282003221,1.042478804,16.81009807,0.765748517,1.968585712
9,24.31986993,7.60604,3.8263,0.442789,-3.78786,-170.728,199.519,1010.55,0.153224954,0.042778412,0.101500504,0.270337206,1.079933614,15.80896589,0.961958461,1.946075628
10,23.40975584,8.71492,4.14638,0.500597,-4.22887,-171.491,199.309,1006.76,0.160282321,0.046058613,0.101895797,0.25926402,1.112745338,14.80074096,1.23429699,1.916635887
11,22.40664304,9.99871,4.31475,0.549962,-4.64114,-172.255,199.066,1002.95,0.168777785,0.054832847,0.101742086,0.247570918,1.135607756,13.79933126,1.594405448,1.878443998
12,21.44904017,11.426,4.31678,0.585256,-5.02128,-173.015,198.788,999.181,0.177830607,0.066294039,0.101492677,0.234980054,1.147736986,12.9310801,1.74462287,1.835466207
13,24.69352458,16.1264,9.42369,0.378414,-0.596499,-169.218,186.358,990.407,0.130273611,0.044428891,0.136376584,0.250370488,0.16068829,18.88023407,0.021545891,0.198635611
14,24.92535994,15.2917,9.58799,0.559491,-0.904236,-169.893,186.084,986.981,0.13651985,0.043003701,0.134280681,0.243881939,0.746078405,18.23017544,0.02266354,0.208946876
15,25.08806171,14.4106,9.98846,0.760231,-1.20854,-170.587,185.801,983.404,0.133859458,0.038379461,0.134402395,0.236917192,1.127519781,17.66381944,0.032369263,0.256941535
16,25.11441986,13.5528,10.6076,0.976279,-1.50851,-171.302,185.515,979.711,0.129855717,0.034917446,0.135079417,0.229510833,1.243978718,17.11722602,0.051160785,0.339910331
17,25.046943,12.7931,11.4181,1.20271,-1.8035,-172.039,185.229,975.941,0.123845796,0.034623251,0.135368102,0.220206679,1.374359232,16.39669771,0.080700961,0.471355551
18,24.82159304,12.2008,12.3826,1.43405,-2.09311,-172.802,184.947,972.131,0.123417775,0.037359235,0.134715522,0.211995169,1.475148966,15.66438737,0.110008791,0.61540621
19,10.88431496,16.7011,14.986,2.15822,-6.88758,0.987366,255.441,988.738,0.186466251,0.040311831,0.118426944,0.164366246,1.559776688,3.897759804,1.203929384,1.50384226
20,11.01974427,17.5569,15.8615,2.49643,-7.10727,0.566264,255.276,985.507,0.206024848,0.042702551,0.116111136,0.164039143,1.524146906,3.745009799,1.483441355,1.492460854
21,11.14561306,18.543,16.6598,2.84531,-7.29874,0.143564,255.107,982.302,0.220752108,0.050435246,0.114746627,0.160373167,1.491831519,3.600806053,1.838685953,1.485211196
22,11.24918958,19.6393,17.3394,3.19134,-7.45596,-0.2773,254.932,979.167,0.231156129,0.059193246,0.115373224,0.150171302,1.474899632,3.462063293,2.20486089,1.477901571
23,11.27963422,20.8237,17.865,3.52024,-7.57311,-0.692607,254.752,976.149,0.251625382,0.060679224,0.117315771,0.117369057,1.485264472,3.308518737,2.19856305,1.47786063
24,11.13354364,22.0726,18.2104,3.81774,-7.6447,-1.09826,254.566,973.295,0.286057378,0.067434645,0.118325688,0.050334304,1.495033813,3.118879107,2.124560251,1.469831507
25,14.0064038,19.8341,5.85774,3.57242,-0.582505,10.2912,212.258,978.876,0.133503397,0.032170966,0.1203209,0.219851431,3.095863934,4.278350321,0.313312221,1.397133897
26,14.10254731,20.1424,5.91799,3.68646,-0.831856,9.61147,212.233,975.513,0.13996459,0.034763869,0.12018474,0.215297051,3.071410694,4.104610742,0.370734921,1.416985714
27,14.1777332,20.6412,5.95244,3.79104,-1.07376,8.92687,212.223,972.206,0.149950074,0.036781633,0.119926619,0.21033317,3.033684681,3.905573473,0.464047355,1.429331584
28,14.20090067,21.3116,5.96042,3.88069,-1.30606,8.23983,212.229,968.99,0.162215613,0.038911458,0.119479199,0.205529132,2.98358391,3.709493684,0.595619471,1.429842943
29,14.14933923,22.1295,5.94151,3.95016,-1.52698,7.55223,212.25,965.897,0.176994448,0.040535901,0.119015837,0.201393802,2.917631649,3.530871539,0.749718264,1.39474727
30,14.03366634,23.0683,5.89407,3.99448,-1.7352,6.86538,212.286,962.96,0.19703316,0.045455266,0.118468456,0.193594706,2.828264668,3.334950985,0.96331394,1.418698312
31,20.46114192,5.59835,6.67928,-1.83634,0.642679,9.79721,307.643,1027.94,0.105682973,0.044011557,0.13077135,0.664286538,2.676676939,15.85232642,0.059478748,0.960292351
32,20.75193166,5.45398,7.10735,-1.73004,0.51255,9.41942,307.232,1024.77,0.102559982,0.052017122,0.114067199,0.641626952,2.586680988,15.43727657,0.074441164,1.106884708
33,20.86625048,5.37287,7.59513,-1.59789,0.365399,9.01681,306.815,1021.48,0.102890549,0.053577086,0.094778501,0.613836782,2.530120393,14.86597826,0.10871359,1.43519905
34,20.81762334,5.39805,8.14809,-1.44374,0.204861,8.59188,306.393,1018.08,0.108908892,0.050711875,0.081813285,0.585535069,2.525063835,14.23672734,0.149491778,1.728063534
35,20.60637806,5.57018,8.76279,-1.27234,0.0348142,8.14724,305.963,1014.62,0.117572556,0.045488494,0.07857237,0.55368953,2.561107472,13.51759318,0.201613118,1.766497365
36,20.32609907,5.92183,9.42594,-1.08912,-0.140646,7.68568,305.525,1011.14,0.125006376,0.043281667,0.086802958,0.525917214,2.624422321,12.84010504,0.270664913,1.77463415
37,19.49876233,6.70299,12.3277,-1.29295,-6.73743,3.92716,109.929,1042.67,0.135063648,0.068913573,0.121559093,0.219553126,2.707604371,13.65980532,0.0892524,1.548497491
38,19.77409804,6.69394,14.0486,-1.26559,-6.89985,3.4988,110.437,1038.26,0.12249787,0.104466429,0.066307341,0.216967821,2.473254954,13.31153753,0.110891305,1.614257861
39,19.75177647,6.88085,15.8588,-1.22614,-7.06711,3.05383,110.961,1033.71,0.12478736,0.093993506,0.030268467,0.211449727,2.43091555,12.6991674,0.155177625,1.649850162
40,19.64479725,7.29368,17.7275,-1.17681,-7.23687,2.59379,111.5,1029.04,0.13332657,0.066459759,0.027591315,0.200891659,2.57967417,12.02526231,0.22245959,1.664487688
41,19.57943393,7.9482,19.6204,-1.12007,-7.40684,2.1202,112.052,1024.28,0.141271373,0.057582102,0.041788682,0.192448794,2.732853814,11.3738116,0.305220026,1.664580567
42,19.52558636,8.84554,21.5012,-1.0586,-7.57494,1.63455,112.614,1019.47,0.148753073,0.061445815,0.067799629,0.19540082,2.830310967,10.6086252,0.4073736,1.658533832
43,14.79937363,2.66062,1.0208,0.398701,-0.750145,-2.49556,94.1458,1034.2,0.09371297,0.061280265,0.087195886,0.795912512,1.32671326,9.799126302,0.925759746,2.661940703
44,14.94635536,3.72808,1.41781,0.397115,-1.1524,-3.40892,94.0402,1030.02,0.094924649,0.062436455,0.077519643,0.764362736,1.346633554,9.618418459,0.916141198,2.600312268
45,15.00588272,4.97447,1.74292,0.386057,-1.57181,-4.33885,93.9509,1025.85,0.095967511,0.06327707,0.065548734,0.730405961,1.36375553,9.358756852,0.905454098,2.538666731
46,14.92777621,6.38108,1.97778,0.366469,-2.00253,-5.27683,93.8814,1021.73,0.101674732,0.063169726,0.05448677,0.69624414,1.372587614,9.02022028,0.893507042,2.466410016
47,14.69217193,7.91738,2.11512,0.340332,-2.43747,-6.21319,93.835,1017.71,0.110027741,0.059522625,0.047133082,0.664614117,1.370114749,8.62635115,0.881212728,2.391215851
48,16.69923332,-25.5179,0.152607,-3.10697,-0.867513,-20.1532,109.501,1060.9,0.158316097,0.201291849,0.072439442,0.155722517,4.068196079,17.24125736,0.307469198,1.218390762
49,15.42918883,7.49335,5.87122,-1.3777,-5.05752,8.7181,271.807,1046.13,0.133477451,0.045777297,0.133350356,0.594321176,1.484375996,10.21353351,0.305731959,1.586616306
50,15.47593564,7.73688,6.40787,-1.24103,-5.3769,8.05107,270.122,1042.21,0.127083713,0.044241342,0.132602847,0.569487575,1.546491733,9.996365619,0.310769176,1.592145262
51,15.60707847,8.07921,6.96041,-1.09127,-5.70573,7.35933,268.446,1038.16,0.11710263,0.047238461,0.130714267,0.547549779,1.598256288,9.827830859,0.312751409,1.590107339
52,15.70070595,8.53324,7.51583,-0.931596,-6.04135,6.64531,266.777,1034.02,0.109800405,0.058600411,0.125798154,0.532652629,1.605187828,9.650902443,0.304997501,1.583175666
53,15.59905656,9.10609,8.06057,-0.765433,-6.38057,5.91212,265.114,1029.81,0.106181036,0.068776156,0.107117746,0.531567756,1.495810279,9.393162424,0.294738157,1.575067134
54,15.32618583,9.79838,8.58164,-0.596415,-6.71967,5.16341,263.453,1025.58,0.109492876,0.068720605,0.070380067,0.529653966,1.346698841,9.050849871,0.298820509,1.571151013
55,24.31062362,8.07634,10.2944,1.05979,-6.46118,-0.16997,139.16,1003.9,0.11212292,0.054344988,0.105798084,0.163583776,1.378747123,16.46701688,0.058224864,0.747272969
56,24.17548779,7.62245,11.1437,1.17719,-6.67772,-0.732718,139.074,1000.1,0.110490752,0.048630506,0.107435148,0.161125835,1.44934249,15.8613939,0.073855667,0.969594032
57,23.97325369,7.27502,12.1141,1.30265,-6.90565,-1.31946,138.988,996.151,0.12006572,0.041628735,0.109219144,0.156484096,1.564532354,15.21041697,0.099814384,1.274268178
58,23.67124609,7.08769,13.1883,1.43247,-7.14707,-1.93298,138.906,992.086,0.127822669,0.037106828,0.110522733,0.149271966,1.696676828,14.46455546,0.133921611,1.349648292
59,23.3601843,7.10557,14.3403,1.56237,-7.40395,-2.57602,138.829,987.949,0.130319136,0.038372908,0.109972309,0.13989007,1.792273627,13.82193564,0.17113043,1.364384448
60,24.29971327,-26.9797,4.23872,-6.25465,-5.27449,-22.4858,145.9,1038.8,0.111997307,0.053937404,0.105886774,0.163401778,1.383925289,16.40234365,0.059303072,0.764400545
61,13.19458061,-0.184336,3.22199,4.61968,-10.203,8.92562,337.532,1054.59,0.084530922,0.096913559,0.050424167,0.196434505,1.493471496,10.11175603,0.143429969,1.626340795
62,13.48448056,0.368503,4.14568,4.78351,-10.5472,8.56574,336.837,1051.16,0.088666883,0.101776918,0.029553819,0.191617671,1.478489473,9.857272099,0.158794482,1.619225928
63,13.6119008,1.1279,5.10128,4.95783,-10.8761,8.19428,336.149,1047.71,0.098052587,0.075240626,0.028372945,0.186845566,1.571313539,9.430149175,0.208176034,1.611884563
64,13.6544647,2.08599,6.03978,5.13754,-11.1833,7.81362,335.472,1044.28,0.106232479,0.064676692,0.038639411,0.182612934,1.664426115,9.022284973,0.277364923,1.597793702
65,13.57481172,3.21832,6.90879,5.31718,-11.4623,7.42592,334.812,1040.89,0.11484322,0.061453449,0.056063112,0.178232814,1.739809886,8.571445749,0.363701628,1.574860827
66,13.31381021,4.48729,7.66607,5.49108,-11.7072,7.03287,334.175,1037.55,0.128441248,0.065287158,0.078594955,0.172977959,1.780860335,8.070592006,0.460531418,1.546911433
67,19.50701246,12.6984,0.650638,-1.9781,-9.22615,5.76553,81.3883,1032.51,0.160408875,0.057795446,0.116216047,0.204918109,3.107051111,13.15018975,0.122843368,1.002735842
68,19.47488374,12.3701,0.953628,-1.76554,-9.19861,5.54883,81.4072,1029.31,0.157606621,0.056819443,0.116110193,0.201712051,3.12362557,12.77360737,0.141429994,1.237765515
69,19.50382591,12.1058,1.31928,-1.55343,-9.14727,5.33879,81.4078,1025.9,0.149824772,0.063007926,0.115140646,0.194043174,3.1212507,12.43744278,0.164943294,1.52067366
70,19.48752036,11.9478,1.73736,-1.34557,-9.07099,5.13455,81.3909,1022.35,0.144900344,0.071071017,0.113956601,0.181240161,3.104489365,12.09784393,0.188748638,1.612027318
71,19.30199932,11.9318,2.19274,-1.1458,-8.96891,4.93452,81.3577,1018.67,0.145353905,0.074843722,0.11346364,0.164016444,3.081107055,11.64164296,0.221695855,1.632626809
72,19.50223912,-31.2034,-2.64986,-5.76585,1.49551,-15.8643,75.0501,1071.7,0.159686259,0.057438947,0.11622805,0.204682288,3.10954267,13.10278245,0.124619568,1.025381926
